"","ID","Gene.symbol"
"8033987",8033987,"ICAM3"
"8130660",8130660,""
"8160782",8160782,""
"8092321",8092321,"DCUN1D1"
"8019074",8019074,"NPTX1"
"7906652",7906652,"NIT1"
"7899955",7899955,""
"7928547",7928547,""
"7986246",7986246,""
"8009301",8009301,"PRKCA"
"8027002",8027002,"GDF15"
"7996593",7996593,"CTCF"
"7976834",7976834,"MIR494"
"7981909",7981909,""
"7942769",7942769,"DKFZp434E1119"
"8168146",8168146,"KIF4A"
"8173009",8173009,"PHF8"
"7980574",7980574,""
"8042519",8042519,"PCYOX1"
"8032804",8032804,"SH3GL1"
"7925413",7925413,"MT1HL1"
"8161442",8161442,"LINC01597///FAM27B"
"8176245",8176245,"F8A3///F8A2///F8A1"
"8056792",8056792,""
"7911619",7911619,"GNB1"
"8060854",8060854,"PLCB1"
"7915032",7915032,"RSPO1"
"8129675",8129675,""
"8156750",8156750,"ANP32B"
"7997168",7997168,"IST1"
"8116910",8116910,"HIVEP1"
"8164252",8164252,"SH2D3C"
"7928750",7928750,""
"8033300",8033300,"GPR108"
"7896985",7896985,"MIB2"
"7905127",7905127,""
"7960878",7960878,"POU5F1P3///POU5F1P3"
"7964203",7964203,"BAZ2A"
"8004394",8004394,"SPEM1"
"8012274",8012274,"NAA38"
"8035351",8035351,"JAK3"
"7982341",7982341,"CHRNA7"
"8011324",8011324,"OR1G1"
"8138007",8138007,""
"8010237",8010237,"C17orf99"
"7925589",7925589,"SMYD3"
"7970565",7970565,""
"8087405",8087405,"GPX1"
"8025382",8025382,"CERS4"
"8058106",8058106,""
"8122194",8122194,""
"8137470",8137470,""
"8102076",8102076,"CENPE"
"8043155",8043155,""
"8170213",8170213,""
"8071212",8071212,"CDC45"
"7952557",7952557,"SRPRA"
"7941685",7941685,"CCS"
"7920341",7920341,"GATAD2B"
"8115847",8115847,""
"7974585",7974585,""
"8094068",8094068,""
"8053975",8053975,"LMAN2L"
"8022927",8022927,"SLC39A6"
"8118098",8118098,""
"8138721",8138721,"HOXA3"
"8014974",8014974,"TOP2A"
"8167656",8167656,"MAGED1"
"8168968",8168968,"GPRASP1"
"8099447",8099447,""
"8174201",8174201,"BEX1"
"8110982",8110982,"DAP"
"7973618",7973618,"IRF9"
"7917695",7917695,""
"8000746",8000746,""
"7922266",7922266,""
"7947926",7947926,""
"7972487",7972487,"DOCK9"
"8118945",8118945,"PPARD"
"8135967",8135967,""
"8063547",8063547,""
"8071204",8071204,""
"7936673",7936673,"RGS10"
"8044791",8044791,""
"8059071",8059071,"NHEJ1"
"8109403",8109403,"MFAP3"
"8164343",8164343,"FAM102A"
"7940046",7940046,"CLP1"
"7973865",7973865,""
"7970146",7970146,"SOX1"
"8155110",8155110,"RGP1"
"7941380",7941380,""
"8042464",8042464,""
"7983021",7983021,"PLA2G4B///JMJD7///JMJD7-PLA2G4B"
"8079772",8079772,"APEH"
"8007112",8007112,"KRTAP4-7///KRTAP4-9///KRTAP4-8///KRTAP4-11///KRTAP4-2///KRTAP4-5///KRTAP4-4///KRTAP4-12///KRTAP4-6///KRTAP4-7"
"8074878",8074878,""
"7989937",7989937,"LCTL"
"8013987",8013987,""
"8087780",8087780,""
"8003075",8003075,""
"8019523",8019523,"WDR45B"
